id,category_alias,category_title
Zk4g6hOWGtDze9CgjLcopg,restaurants,Restaurants
xzN2k19JXDYjOWAhNw62aw,italian,Italian
xzN2k19JXDYjOWAhNw62aw,pizza,Pizza
xzN2k19JXDYjOWAhNw62aw,lounges,Lounges
srqlsWg0od6soGI2Zf8mXA,cocktailbars,Cocktail Bars
srqlsWg0od6soGI2Zf8mXA,newamerican,American (New)
srqlsWg0od6soGI2Zf8mXA,breakfast_brunch,Breakfast & Brunch
_QYgfFhomwKBbKWfOKcatw,newamerican,American (New)
_QYgfFhomwKBbKWfOKcatw,steak,Steakhouses
_QYgfFhomwKBbKWfOKcatw,seafood,Seafood
Ck09FempamAKGSPsV_bX-A,mexican,Mexican
Ck09FempamAKGSPsV_bX-A,tapasmallplates,Tapas/Small Plates
Ck09FempamAKGSPsV_bX-A,cocktailbars,Cocktail Bars
l7G5tDA96xbA_bx1ZgkOeg,ramen,Ramen
l7G5tDA96xbA_bx1ZgkOeg,noodles,Noodles
l7G5tDA96xbA_bx1ZgkOeg,soup,Soup
1Q3oaJahyGRogDWgpo7PIw,newamerican,American (New)
1Q3oaJahyGRogDWgpo7PIw,coffee,Coffee & Tea
1Q3oaJahyGRogDWgpo7PIw,bars,Bars
-aievhVzik4nHkxQFXFUrg,caribbean,Caribbean
-aievhVzik4nHkxQFXFUrg,bars,Bars
-aievhVzik4nHkxQFXFUrg,chicken_wings,Chicken Wings
nI1UYDCYUTt23TpGxqnLKg,chinese,Chinese
nI1UYDCYUTt23TpGxqnLKg,bars,Bars
nI1UYDCYUTt23TpGxqnLKg,asianfusion,Asian Fusion
qZZMGDMITxAmq07fU0zEuA,shanghainese,Shanghainese
qZZMGDMITxAmq07fU0zEuA,dimsum,Dim Sum
qZZMGDMITxAmq07fU0zEuA,soup,Soup
dpo_TBvuRi2nEzuVdO4AiQ,thai,Thai
g7qtHQ_121mYWUdu3VWlrA,thai,Thai
g7qtHQ_121mYWUdu3VWlrA,bars,Bars
g7qtHQ_121mYWUdu3VWlrA,tapasmallplates,Tapas/Small Plates
9K0run3oObR0YT4jaOEvWg,italian,Italian
jnHbdsqlTKlPcmJ8BCP9-g,italian,Italian
Y75eWf_XLLtKky8p7J08Lg,cafes,Cafes
Y75eWf_XLLtKky8p7J08Lg,cocktailbars,Cocktail Bars
Y75eWf_XLLtKky8p7J08Lg,australian,Australian
txKDRVyFvArVLH1pvwUwtg,peruvian,Peruvian
EHINHIbLklEUShuANKjGgw,wine_bars,Wine Bars
EHINHIbLklEUShuANKjGgw,spanish,Spanish
EHINHIbLklEUShuANKjGgw,tapas,Tapas Bars
d8qCvlsG3jwxQPZc_OGogQ,japanese,Japanese
d8qCvlsG3jwxQPZc_OGogQ,sushi,Sushi Bars
_6ppndL8xhUBvylCur6fag,filipino,Filipino
SmLFW1Ncg26KfVRVX3GVFQ,newamerican,American (New)
SmLFW1Ncg26KfVRVX3GVFQ,korean,Korean
hhXZ6bgJ8EkWlp8AGZwtcQ,italian,Italian
i8F0fnempD5fTb2CxbwKDw,izakaya,Izakaya
i8F0fnempD5fTb2CxbwKDw,tapasmallplates,Tapas/Small Plates
i8F0fnempD5fTb2CxbwKDw,ramen,Ramen
5ZgCfc1_fotAKUp7n3YJkQ,japanese,Japanese
5ZgCfc1_fotAKUp7n3YJkQ,sushi,Sushi Bars
5ZgCfc1_fotAKUp7n3YJkQ,cocktailbars,Cocktail Bars
KxOAVoyJ55G-gEQqhnBpAQ,sushi,Sushi Bars
2_3W7NFFN3m4U_8ffgEuyQ,italian,Italian
2_3W7NFFN3m4U_8ffgEuyQ,bars,Bars
2_3W7NFFN3m4U_8ffgEuyQ,sandwiches,Sandwiches
HaDG1Ymi8NVapPBfF4Uqiw,japanese,Japanese
HaDG1Ymi8NVapPBfF4Uqiw,filipino,Filipino
JYNBy2r3LVhJbLHE1bASfg,newamerican,American (New)
JYNBy2r3LVhJbLHE1bASfg,breakfast_brunch,Breakfast & Brunch
JYNBy2r3LVhJbLHE1bASfg,cocktailbars,Cocktail Bars
8ig0yf0003DAp4YOGTlbVg,chinese,Chinese
TjsclSn2PbJ9AV3S4oiXUw,french,French
TjsclSn2PbJ9AV3S4oiXUw,wine_bars,Wine Bars
TjsclSn2PbJ9AV3S4oiXUw,cocktailbars,Cocktail Bars
GyPQy9BlW5ajyWUFYsF4Wg,seafood,Seafood
GyPQy9BlW5ajyWUFYsF4Wg,salad,Salad
GyPQy9BlW5ajyWUFYsF4Wg,pastashops,Pasta Shops
Ssi8ht_p9rXY03Rwld6EKw,seafood,Seafood
Ssi8ht_p9rXY03Rwld6EKw,newamerican,American (New)
kjItczuC-FQa-nECT9VF8A,noodles,Noodles
kjItczuC-FQa-nECT9VF8A,japanese,Japanese
kjItczuC-FQa-nECT9VF8A,sushi,Sushi Bars
YAmu8arUReBRYg9S-JqSIg,pizza,Pizza
jjDsVuD7KbxnYV4jFnyftA,korean,Korean
jjDsVuD7KbxnYV4jFnyftA,bbq,Barbeque
WHE1JDOyR_ifwmXZnvd_XQ,seafood,Seafood
TBp9gdS6xEbSQqffVZ7iag,sushi,Sushi Bars
TBp9gdS6xEbSQqffVZ7iag,japanese,Japanese
ziIb68Res3eMw7fz83yFxw,cafes,Cafes
ziIb68Res3eMw7fz83yFxw,breakfast_brunch,Breakfast & Brunch
ziIb68Res3eMw7fz83yFxw,coffee,Coffee & Tea
OOAFPiztVlStZIUDwcixqA,sandwiches,Sandwiches
OOAFPiztVlStZIUDwcixqA,mediterranean,Mediterranean
OOAFPiztVlStZIUDwcixqA,bars,Bars
6hKJePanmG9AxK4dfwgyyg,newamerican,American (New)
6hKJePanmG9AxK4dfwgyyg,bars,Bars
6hKJePanmG9AxK4dfwgyyg,venues,Venues & Event Spaces
pAqrkEtry8PFVl-_PIksnw,vegan,Vegan
pAqrkEtry8PFVl-_PIksnw,mediterranean,Mediterranean
pAqrkEtry8PFVl-_PIksnw,bars,Bars
m1LMuSbxtps7WNGM38scWA,japanese,Japanese
m1LMuSbxtps7WNGM38scWA,beerbar,Beer Bar
OFc7aHP1chwqXTgtYtbJzQ,korean,Korean
O7b3WKYglyu_3lYxN7GXRQ,ramen,Ramen
HJ4E26hDuU7cyfHXYd7Q8Q,italian,Italian
HJ4E26hDuU7cyfHXYd7Q8Q,cocktailbars,Cocktail Bars
HJ4E26hDuU7cyfHXYd7Q8Q,mediterranean,Mediterranean
vhqFa_0SG9M7Ra1OTmfB9A,bars,Bars
vhqFa_0SG9M7Ra1OTmfB9A,italian,Italian
vhqFa_0SG9M7Ra1OTmfB9A,pastashops,Pasta Shops
dNNBT-uwpq1ymSOeDf-vsA,peruvian,Peruvian
Gy-0WM4CZp39vmjIr9MbDw,newamerican,American (New)
Gy-0WM4CZp39vmjIr9MbDw,coffee,Coffee & Tea
Gy-0WM4CZp39vmjIr9MbDw,wine_bars,Wine Bars
1vAMfzO6i89lDayBT1zlLA,seafood,Seafood
1vAMfzO6i89lDayBT1zlLA,gastropubs,Gastropubs
JeCtYANe0eqW8xe1SN3lWg,chicken_wings,Chicken Wings
JeCtYANe0eqW8xe1SN3lWg,korean,Korean
JeCtYANe0eqW8xe1SN3lWg,gastropubs,Gastropubs
LseVL9WvNC2WExXIH-oGJQ,caribbean,Caribbean
LseVL9WvNC2WExXIH-oGJQ,empanadas,Empanadas
hiTfA7vnxDSLv77nl6UQXQ,newamerican,American (New)
hiTfA7vnxDSLv77nl6UQXQ,wine_bars,Wine Bars
hiTfA7vnxDSLv77nl6UQXQ,steak,Steakhouses
l0vT-Cw6JBmhhJhCOT8b0Q,korean,Korean
uUB8pP47svQpFfEN8lc2OA,sushi,Sushi Bars
uUB8pP47svQpFfEN8lc2OA,japanese,Japanese
uUB8pP47svQpFfEN8lc2OA,seafood,Seafood
wA_KKu3X36JcaUPgFjyIHg,mediterranean,Mediterranean
wA_KKu3X36JcaUPgFjyIHg,bars,Bars
UEC2N2hVWRI4r9COPLBtWg,tradamerican,American (Traditional)
UEC2N2hVWRI4r9COPLBtWg,bars,Bars
4cRcIOC8bKiaSA_7hYVW2A,streetvendors,Street Vendors
4cRcIOC8bKiaSA_7hYVW2A,breakfast_brunch,Breakfast & Brunch
4cRcIOC8bKiaSA_7hYVW2A,tex-mex,Tex-Mex
I6v7Tmb6kHS4P3ioT_xEhA,italian,Italian
I6v7Tmb6kHS4P3ioT_xEhA,pizza,Pizza
I6v7Tmb6kHS4P3ioT_xEhA,beer_and_wine,"Beer, Wine & Spirits"
zyyT2yiyxxamC-jKc0v-fg,caribbean,Caribbean
zyyT2yiyxxamC-jKc0v-fg,bars,Bars
5MpWHGQ6Qc-M4q1KL_nioA,italian,Italian
5MpWHGQ6Qc-M4q1KL_nioA,bars,Bars
5MpWHGQ6Qc-M4q1KL_nioA,tapas,Tapas Bars
Ctz5lsMnn-oT-9u0C0D-gw,jazzandblues,Jazz & Blues
Ctz5lsMnn-oT-9u0C0D-gw,restaurants,Restaurants
xt4sa64WOrpJvZBDPNPNYg,comfortfood,Comfort Food
xt4sa64WOrpJvZBDPNPNYg,southern,Southern
xt4sa64WOrpJvZBDPNPNYg,tradamerican,American (Traditional)
vVVmHacu2YAxKfpIjhfd1g,italian,Italian
vVVmHacu2YAxKfpIjhfd1g,pizza,Pizza
20Bw5MAwpmS3QJd4mx7HfQ,wine_bars,Wine Bars
20Bw5MAwpmS3QJd4mx7HfQ,spanish,Spanish
20Bw5MAwpmS3QJd4mx7HfQ,tapasmallplates,Tapas/Small Plates
jODudB8mE-udjFjloOwBoA,newamerican,American (New)
1pDgVkesCAAj8NC0aqDuzA,ethiopian,Ethiopian
IUepQmpoQxMuXBE_pbOOCA,trinidadian,Trinidadian
IUepQmpoQxMuXBE_pbOOCA,distilleries,Distilleries
7rxg-tWPc1jK7Cikn5R86g,japanese,Japanese
7rxg-tWPc1jK7Cikn5R86g,coffee,Coffee & Tea
7rxg-tWPc1jK7Cikn5R86g,bars,Bars
0LRQqNFqK78TcLnPONrGHg,sushi,Sushi Bars
8NVN6Nldm7AGoGaABBZMRw,gastropubs,Gastropubs
8NVN6Nldm7AGoGaABBZMRw,izakaya,Izakaya
8NVN6Nldm7AGoGaABBZMRw,bars,Bars
iXH9H75idkSB-Eudo5ABhg,asianfusion,Asian Fusion
zcPWqsiqaPpNh8nJXR4gpw,bars,Bars
zcPWqsiqaPpNh8nJXR4gpw,tradamerican,American (Traditional)
zcPWqsiqaPpNh8nJXR4gpw,sandwiches,Sandwiches
qjgrR5hYsdmmE6PJXCS9sQ,newmexican,New Mexican Cuisine
qjgrR5hYsdmmE6PJXCS9sQ,breakfast_brunch,Breakfast & Brunch
qjgrR5hYsdmmE6PJXCS9sQ,cocktailbars,Cocktail Bars
L9SuMN3UsGipopWOe3pr9w,szechuan,Szechuan
hyEyUk9GOwxlco3w-WU9gA,desserts,Desserts
hyEyUk9GOwxlco3w-WU9gA,breakfast_brunch,Breakfast & Brunch
hyEyUk9GOwxlco3w-WU9gA,coffee,Coffee & Tea
khIvDzZ4RO7_L4L8nk5lAQ,seafood,Seafood
khIvDzZ4RO7_L4L8nk5lAQ,cocktailbars,Cocktail Bars
khIvDzZ4RO7_L4L8nk5lAQ,desserts,Desserts
j7a5gbDe3ieLcOXQhLJRvA,vietnamese,Vietnamese
j7a5gbDe3ieLcOXQhLJRvA,noodles,Noodles
j7a5gbDe3ieLcOXQhLJRvA,icecream,Ice Cream & Frozen Yogurt
Lw044EfH1h3XhUhri3ExfA,newamerican,American (New)
Lw044EfH1h3XhUhri3ExfA,venues,Venues & Event Spaces
DW5SL9RM-kJnmRyYo4oEqg,breakfast_brunch,Breakfast & Brunch
DW5SL9RM-kJnmRyYo4oEqg,burgers,Burgers
DW5SL9RM-kJnmRyYo4oEqg,australian,Australian
kvpSqh3q7r3HK3Tw-wXGEQ,coffee,Coffee & Tea
kvpSqh3q7r3HK3Tw-wXGEQ,japanese,Japanese
kvpSqh3q7r3HK3Tw-wXGEQ,sandwiches,Sandwiches
M-AcAh1C_eQfhzGk6ZmOSQ,breakfast_brunch,Breakfast & Brunch
M-AcAh1C_eQfhzGk6ZmOSQ,coffee,Coffee & Tea
M-AcAh1C_eQfhzGk6ZmOSQ,newamerican,American (New)
b0vAwhwztNb80Zk4WJ9dBw,breakfast_brunch,Breakfast & Brunch
b0vAwhwztNb80Zk4WJ9dBw,coffee,Coffee & Tea
b0vAwhwztNb80Zk4WJ9dBw,wine_bars,Wine Bars
VFUHY1Y6pg0UaNmE3CS7cA,modern_european,Modern European
87473b6xXVwhO_XHloh30A,japanese,Japanese
87473b6xXVwhO_XHloh30A,french,French
CGnvt7JZfJDiNGhXsMUHeQ,polish,Polish
1tee7X0yLzMmEYvyLLTSMw,japanese,Japanese
zmJVC80Ad3ezkv4OBljXCw,tradamerican,American (Traditional)
zmJVC80Ad3ezkv4OBljXCw,newamerican,American (New)
zmJVC80Ad3ezkv4OBljXCw,cafes,Cafes
_nx-dSdUgmWcK8qxrGaTMw,cocktailbars,Cocktail Bars
_nx-dSdUgmWcK8qxrGaTMw,caribbean,Caribbean
pIyhj8qxJNInsVa53KUB1g,italian,Italian
pIyhj8qxJNInsVa53KUB1g,pizza,Pizza
pIyhj8qxJNInsVa53KUB1g,pastashops,Pasta Shops
WF_RB9-e0a1s2ulaPZdrqQ,coffee,Coffee & Tea
WF_RB9-e0a1s2ulaPZdrqQ,cafes,Cafes
RS2_imjEBK3H5fc-mCwZng,sushi,Sushi Bars
RS2_imjEBK3H5fc-mCwZng,japanese,Japanese
RS2_imjEBK3H5fc-mCwZng,seafood,Seafood
NdN8dwnjE6vgUG7OcV6izQ,chickenshop,Chicken Shop
hI9rkUO2a6bZigyXVoVbgQ,greek,Greek
hI9rkUO2a6bZigyXVoVbgQ,mediterranean,Mediterranean
hI9rkUO2a6bZigyXVoVbgQ,seafood,Seafood
H87c1gVVCKneyI0LxaDFxQ,chinese,Chinese
H87c1gVVCKneyI0LxaDFxQ,foodtrucks,Food Trucks
H87c1gVVCKneyI0LxaDFxQ,breakfast_brunch,Breakfast & Brunch
MBQg0-g_iiIEY4hzLiezKg,desserts,Desserts
MBQg0-g_iiIEY4hzLiezKg,malaysian,Malaysian
MBQg0-g_iiIEY4hzLiezKg,cafes,Cafes
Sj3JYCbaEFrAqUzRrenQbg,peruvian,Peruvian
Sj3JYCbaEFrAqUzRrenQbg,cocktailbars,Cocktail Bars
vmoRGfd2xIAN-Ty0kiK_lA,sushi,Sushi Bars
vmoRGfd2xIAN-Ty0kiK_lA,japanese,Japanese
HxeXtA66KSkMU7nDSI8xLg,georgian,Georgian
dMhRafXdr765DHe0k-QfaQ,breakfast_brunch,Breakfast & Brunch
dMhRafXdr765DHe0k-QfaQ,cocktailbars,Cocktail Bars
dMhRafXdr765DHe0k-QfaQ,salad,Salad
Zp-K3ztVTzR-LrWwl_CBgA,bars,Bars
Zp-K3ztVTzR-LrWwl_CBgA,italian,Italian
Zp-K3ztVTzR-LrWwl_CBgA,breakfast_brunch,Breakfast & Brunch
KfHwEsirvgNwqqSSIZ4Kdg,wine_bars,Wine Bars
KfHwEsirvgNwqqSSIZ4Kdg,newamerican,American (New)
TNJpskGz5bw20s23gwbGVQ,cafes,Cafes
TNJpskGz5bw20s23gwbGVQ,coffee,Coffee & Tea
TNJpskGz5bw20s23gwbGVQ,breakfast_brunch,Breakfast & Brunch
SjG7CnTIuUBIo9T4BThkGQ,newamerican,American (New)
SjG7CnTIuUBIo9T4BThkGQ,cocktailbars,Cocktail Bars
SjG7CnTIuUBIo9T4BThkGQ,desserts,Desserts
K2k8PWU-vYqcs0cgqkrx9Q,breakfast_brunch,Breakfast & Brunch
K2k8PWU-vYqcs0cgqkrx9Q,newamerican,American (New)
K2k8PWU-vYqcs0cgqkrx9Q,coffee,Coffee & Tea
tmx11F58pLhKjEReK5W9wQ,newamerican,American (New)
tvgvaUpOJ6OQv6edy-zAQw,lebanese,Lebanese
tvgvaUpOJ6OQv6edy-zAQw,desserts,Desserts
0di16xi6wqzOHMF7hDXMKQ,cajun,Cajun/Creole
0di16xi6wqzOHMF7hDXMKQ,seafood,Seafood
eqTk_mQPCxZl9dnc-kDQgg,haitian,Haitian
eqTk_mQPCxZl9dnc-kDQgg,breakfast_brunch,Breakfast & Brunch
