name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Luna Rossa Ristorante,Upper East Side,Italian,$$,4.8,4.8,4.9,4.6,92,Moderate,Casual Dining,40.7765177,-73.9503784,https://www.kayak.com/New-York-Restaurants-Luna-Rossa-Ristorante.100018356.rd.ksp
The Ribbon - UWS,Upper West Side,Contemporary American,$$,4.4,4.3,4.2,4.2,231,Moderate,Casual Dining,40.7766182,-73.9773026,https://www.kayak.com/New-York-Restaurants-The-Ribbon-UWS.100009703.rd.ksp
Oxbow Tavern,Upper West Side,French American,$$,4.3,4.3,4.3,4.2,495,Moderate,Casual Elegant,40.7769784,-73.9793528,https://www.kayak.com/New-York-Restaurants-Oxbow-Tavern.100022481.rd.ksp
Sistina,Upper East Side,Italian,$$,4.8,4.8,4.8,4.8,292,Moderate,Fine Dining,40.7777128,-73.9616509,https://www.kayak.com/New-York-Restaurants-Sistina.101025701.rd.ksp
Jacques Brasserie,Upper East Side,French,$$,4.6,4.6,4.5,4.5,198,Moderate,Casual Dining,40.7778783,-73.9541391,https://www.kayak.com/New-York-Restaurants-Jacques-Brasserie.100986757.rd.ksp
Arte Cafe - Upper West Side,Upper West Side,Italian,$$,4.4,4.4,4.3,4.5,219,Moderate,Casual Elegant,40.7781493,-73.978758,https://www.kayak.com/New-York-Restaurants-Arte-Cafe-Upper-West-Side.100034841.rd.ksp
The Met Dining Room,Central Park,Contemporary American,$$,4.3,4.3,4.2,4.2,469,Moderate,Casual Dining,40.7791655,-73.9629278,https://www.kayak.com/New-York-Restaurants-The-Dining-Room-at-The-Metropolitan-Museum-of-Art.100035053.rd.ksp
Salumeria Rosi,Upper West Side,Italian,$$,4.9,4.9,5,4.6,40,Moderate,Casual Elegant,40.7793592,-73.9808591,https://www.kayak.com/New-York-Restaurants-Salumeria-Rosi.100012129.rd.ksp
Storico,Upper West Side,Contemporary Italian,$$,4.1,4.1,3.9,4.2,143,Moderate,Casual Elegant,40.779447,-73.9739529,https://www.kayak.com/New-York-Restaurants-Storico.100019445.rd.ksp
IL Carino Restaurant,Upper East Side,Italian,$$,4.7,4.6,4.8,4.5,26,Moderate,Elegant Dining,40.7794927,-73.9501884,https://www.kayak.com/New-York-Restaurants-IL-Carino-Restaurant.100041140.rd.ksp
Sushi Yasaka,Upper West Side,Japanese,$$,4.8,4.8,4.5,4.2,443,Moderate,Casual Dining,40.7795706,-73.983463,https://www.kayak.com/New-York-Restaurants-Sushi-Yasaka.100048505.rd.ksp
Burke & Wills,Upper West Side,Australian,$$,4.5,4.4,4.5,4.5,2821,Moderate,Casual Elegant,40.7833905,-73.97955783,https://www.kayak.com/New-York-Restaurants-Burke-Wills.100005151.rd.ksp
Korali,Upper East Side,Greek,$$,4.7,4.7,4.7,4.6,150,Moderate,Casual Dining,40.7834335,-73.9508414,https://www.kayak.com/New-York-Restaurants-Korali.100009214.rd.ksp
The Milling Room,Upper West Side,American,$$,4.6,4.6,4.4,4.7,471,Moderate,Casual Elegant,40.783747,-73.974468,https://www.kayak.com/New-York-Restaurants-The-Milling-Room.100000981.rd.ksp
La Sirene UWS,Upper West Side,French,$$,4.6,4.6,4.6,4.4,159,Moderate,Casual Dining,40.7838279,-73.9780648,https://www.kayak.com/New-York-Restaurants-La-Sirene-UWS.101012028.rd.ksp
Lokal Mediterranean Kitchen,Upper West Side,Mediterranean,$$,4.6,4.5,4.7,4.3,159,Moderate,Casual Dining,40.7842385,-73.9734026,https://www.kayak.com/New-York-Restaurants-Lokal-Mediterranean-Kitchen.100034770.rd.ksp
Crave Fishbar - UWS,Upper West Side,Seafood,$$,4.7,4.7,4.6,4.5,303,Moderate,Casual Dining,40.784271,-73.9777849,https://www.kayak.com/New-York-Restaurants-Crave-Fishbar-UWS.100027196.rd.ksp
Tarallucci e Vino - Upper West Side,Upper West Side,Italian,$$,4.4,4.4,4.4,4.3,52,Moderate,Casual Elegant,40.7843472,-73.9734775,https://www.kayak.com/New-York-Restaurants-Tarallucci-e-Vino-Upper-West-Side.100028982.rd.ksp
La Mirabelle,Upper West Side,French,$$,4.4,4.4,4.5,4.2,4371,Moderate,Casual Elegant,40.78639645,-73.97258844,https://www.kayak.com/New-York-Restaurants-La-Mirabelle.100019861.rd.ksp
Carmine's - 91st Street - NYC,Upper West Side,Italian,$$,4.4,4.5,4.3,4.3,583,Moderate,Casual Dining,40.7911087,-73.9739812,https://www.kayak.com/New-York-Restaurants-Carmine-s-91st-Street-NYC.100011256.rd.ksp
Numero 28 Pizzeria - UWS,Upper West Side,Pizzeria,$$,4.4,4.5,4.2,3.8,526,Moderate,Casual Dining,40.7917355,-73.9723567,https://www.kayak.com/New-York-Restaurants-Numero-28-Pizzeria-UWS.100024759.rd.ksp
Baazi,Upper West Side,Indian,$$,4.4,4.5,3.9,3.9,24,Moderate,Casual Dining,40.7955872,-73.9707432,https://www.kayak.com/New-York-Restaurants-Awadh.100005397.rd.ksp
Minton's Playhouse,Harlem,American,$$,4.4,4.1,4.3,4.6,1887,Moderate,Casual Elegant,40.8047396,-73.9523755,https://www.kayak.com/New-York-Restaurants-Minton-s-Playhouse.100040231.rd.ksp
