id,category_alias,category_title
O6J-qVMTcgralBZ3uzSwEA,pizza,Pizza
O6J-qVMTcgralBZ3uzSwEA,burgers,Burgers
O6J-qVMTcgralBZ3uzSwEA,chicken_wings,Chicken Wings
vDHFwrXakFAnVxi4pGMecg,italian,Italian
awzOmL5ykp7q4qTh1n7kmQ,vietnamese,Vietnamese
p9sdHlPEYp7buL3EmF_xaw,bubbletea,Bubble Tea
p9sdHlPEYp7buL3EmF_xaw,dimsum,Dim Sum
p9sdHlPEYp7buL3EmF_xaw,noodles,Noodles
tmbW6_dJs5-UXhvROO093Q,spanish,Spanish
tmbW6_dJs5-UXhvROO093Q,tapas,Tapas Bars
tmbW6_dJs5-UXhvROO093Q,wine_bars,Wine Bars
2t1YK6xtts3IJ-juO8485Q,peruvian,Peruvian
9XuL2AQt4AKMXEBbSsU75A,mediterranean,Mediterranean
9XuL2AQt4AKMXEBbSsU75A,turkish,Turkish
QLE4KWNfwc-x77bllijF3A,thai,Thai
QLE4KWNfwc-x77bllijF3A,soup,Soup
WgWRpL8dyTLA1fBaxzvZ6A,tradamerican,American (Traditional)
WgWRpL8dyTLA1fBaxzvZ6A,sportsbars,Sports Bars
hSfJ5n_jAduyLV2uxPcEaQ,pizza,Pizza
hSfJ5n_jAduyLV2uxPcEaQ,italian,Italian
hSfJ5n_jAduyLV2uxPcEaQ,venues,Venues & Event Spaces
1zdtxNVUsjkOI0pzXg0RKw,chicken_wings,Chicken Wings
1zdtxNVUsjkOI0pzXg0RKw,bubbletea,Bubble Tea
3rZwXDjkyDLAHNSdPUI5WA,bangladeshi,Bangladeshi
3rZwXDjkyDLAHNSdPUI5WA,halal,Halal
R2VLXk5qjDLhsP4R8Z9i2A,irish,Irish
R2VLXk5qjDLhsP4R8Z9i2A,tradamerican,American (Traditional)
R2VLXk5qjDLhsP4R8Z9i2A,sportsbars,Sports Bars
0Gx08zPfwP8tI2Hg4r6AGg,italian,Italian
0Gx08zPfwP8tI2Hg4r6AGg,seafood,Seafood
0Gx08zPfwP8tI2Hg4r6AGg,cocktailbars,Cocktail Bars
Npf8xdD81WnSS7KDWxjGYA,russian,Russian
Npf8xdD81WnSS7KDWxjGYA,ukrainian,Ukrainian
iGonCEvDXwwxjABRdwQ0sQ,italian,Italian
hmndKMvCwTzXSAPp4KmGYg,cajun,Cajun/Creole
hmndKMvCwTzXSAPp4KmGYg,southern,Southern
hmndKMvCwTzXSAPp4KmGYg,seafood,Seafood
iIcFJGEJ6MmPCXD2cjq7dg,mideastern,Middle Eastern
iIcFJGEJ6MmPCXD2cjq7dg,juicebars,Juice Bars & Smoothies
